,Date_heure,nb_ae,nb_ae_rep,nb_ae_tr90,dmr,dmt,TR90,Year,Mois,Semaine,Year_Sem,Date,jsem,creneau,BTS,cs_ae_tr,cs_ae_rep,cs_tr90
0,2021-09-01 08:00:00,2,2,2,33,241,100,2021,9,35,2021_35,2021-09-01,Mercredi,08:00,True,2,2,100.0
1,2021-09-01 08:30:00,26,26,14,92,289,53,2021,9,35,2021_35,2021-09-01,Mercredi,08:30,True,16,28,57.1
2,2021-09-01 09:00:00,42,42,21,87,275,50,2021,9,35,2021_35,2021-09-01,Mercredi,09:00,True,37,70,52.9
3,2021-09-01 09:30:00,49,49,49,20,395,100,2021,9,35,2021_35,2021-09-01,Mercredi,09:30,True,86,119,72.3
4,2021-09-01 10:00:00,47,45,32,55,302,71,2021,9,35,2021_35,2021-09-01,Mercredi,10:00,True,118,164,72.0
5,2021-09-01 10:30:00,57,57,24,99,274,42,2021,9,35,2021_35,2021-09-01,Mercredi,10:30,True,142,221,64.3
6,2021-09-01 11:00:00,61,60,59,32,304,98,2021,9,35,2021_35,2021-09-01,Mercredi,11:00,True,201,281,71.5
7,2021-09-01 11:30:00,60,60,36,84,310,60,2021,9,35,2021_35,2021-09-01,Mercredi,11:30,True,237,341,69.5
8,2021-09-01 12:00:00,50,50,41,36,304,82,2021,9,35,2021_35,2021-09-01,Mercredi,12:00,True,278,391,71.1
9,2021-09-01 12:30:00,46,46,41,39,322,89,2021,9,35,2021_35,2021-09-01,Mercredi,12:30,True,319,437,73.0
10,2021-09-01 13:00:00,40,40,40,17,286,100,2021,9,35,2021_35,2021-09-01,Mercredi,13:00,True,359,477,75.3
11,2021-09-01 13:30:00,42,42,40,26,287,95,2021,9,35,2021_35,2021-09-01,Mercredi,13:30,True,399,519,76.9
12,2021-09-01 14:00:00,30,29,29,25,388,100,2021,9,35,2021_35,2021-09-01,Mercredi,14:00,True,428,548,78.1
13,2021-09-01 14:30:00,48,48,44,26,286,91,2021,9,35,2021_35,2021-09-01,Mercredi,14:30,True,472,596,79.2
14,2021-09-01 15:00:00,45,45,45,9,298,100,2021,9,35,2021_35,2021-09-01,Mercredi,15:00,True,517,641,80.7
15,2021-09-01 15:30:00,51,50,46,24,302,92,2021,9,35,2021_35,2021-09-01,Mercredi,15:30,True,563,691,81.5
16,2021-09-01 16:00:00,56,56,56,18,313,100,2021,9,35,2021_35,2021-09-01,Mercredi,16:00,True,619,747,82.9
17,2021-09-01 16:30:00,48,48,35,64,315,72,2021,9,35,2021_35,2021-09-01,Mercredi,16:30,True,654,795,82.3
18,2021-09-01 17:00:00,42,40,27,64,309,67,2021,9,35,2021_35,2021-09-01,Mercredi,17:00,True,681,835,81.6
19,2021-09-01 17:30:00,41,40,8,164,265,20,2021,9,35,2021_35,2021-09-01,Mercredi,17:30,True,689,875,78.7
20,2021-09-01 18:00:00,67,66,38,112,288,57,2021,9,35,2021_35,2021-09-01,Mercredi,18:00,True,727,941,77.3
21,2021-09-01 18:30:00,52,52,46,39,302,88,2021,9,35,2021_35,2021-09-01,Mercredi,18:30,True,773,993,77.8
22,2021-09-01 19:00:00,19,19,19,11,283,100,2021,9,35,2021_35,2021-09-01,Mercredi,19:00,True,792,1012,78.3
23,2021-09-01 19:30:00,17,17,17,9,361,100,2021,9,35,2021_35,2021-09-01,Mercredi,19:30,True,809,1029,78.6
24,2021-09-02 08:00:00,2,2,2,28,238,100,2021,9,35,2021_35,2021-09-02,Jeudi,08:00,True,2,2,100.0
25,2021-09-02 08:30:00,16,16,1,265,250,6,2021,9,35,2021_35,2021-09-02,Jeudi,08:30,True,3,18,16.7
26,2021-09-02 09:00:00,55,55,17,140,290,30,2021,9,35,2021_35,2021-09-02,Jeudi,09:00,True,20,73,27.4
27,2021-09-02 09:30:00,60,60,16,186,292,26,2021,9,35,2021_35,2021-09-02,Jeudi,09:30,True,36,133,27.1
28,2021-09-02 10:00:00,51,51,49,37,322,96,2021,9,35,2021_35,2021-09-02,Jeudi,10:00,True,85,184,46.2
29,2021-09-02 10:30:00,43,43,43,23,374,100,2021,9,35,2021_35,2021-09-02,Jeudi,10:30,True,128,227,56.4
30,2021-09-02 11:00:00,56,56,41,63,300,73,2021,9,35,2021_35,2021-09-02,Jeudi,11:00,True,169,283,59.7
31,2021-09-02 11:30:00,49,49,49,14,308,100,2021,9,35,2021_35,2021-09-02,Jeudi,11:30,True,218,332,65.7
32,2021-09-02 12:00:00,46,45,42,29,361,93,2021,9,35,2021_35,2021-09-02,Jeudi,12:00,True,260,377,69.0
33,2021-09-02 12:30:00,50,50,26,96,336,52,2021,9,35,2021_35,2021-09-02,Jeudi,12:30,True,286,427,67.0
34,2021-09-02 13:00:00,40,40,4,219,354,10,2021,9,35,2021_35,2021-09-02,Jeudi,13:00,True,290,467,62.1
35,2021-09-02 13:30:00,46,46,35,51,318,76,2021,9,35,2021_35,2021-09-02,Jeudi,13:30,True,325,513,63.4
36,2021-09-02 14:00:00,42,42,41,27,360,97,2021,9,35,2021_35,2021-09-02,Jeudi,14:00,True,366,555,65.9
37,2021-09-02 14:30:00,31,31,29,22,270,93,2021,9,35,2021_35,2021-09-02,Jeudi,14:30,True,395,586,67.4
38,2021-09-02 15:00:00,39,38,28,66,339,73,2021,9,35,2021_35,2021-09-02,Jeudi,15:00,True,423,624,67.8
39,2021-09-02 15:30:00,18,18,10,73,991,55,2021,9,35,2021_35,2021-09-02,Jeudi,15:30,True,433,642,67.4
40,2021-09-02 16:00:00,39,39,39,33,238,100,2021,9,35,2021_35,2021-09-02,Jeudi,16:00,True,472,681,69.3
41,2021-09-02 16:30:00,80,80,74,33,264,92,2021,9,35,2021_35,2021-09-02,Jeudi,16:30,True,546,761,71.7
42,2021-09-02 17:00:00,45,44,22,94,293,50,2021,9,35,2021_35,2021-09-02,Jeudi,17:00,True,568,805,70.6
43,2021-09-02 17:30:00,43,41,32,47,304,78,2021,9,35,2021_35,2021-09-02,Jeudi,17:30,True,600,846,70.9
44,2021-09-02 18:00:00,64,64,37,95,326,57,2021,9,35,2021_35,2021-09-02,Jeudi,18:00,True,637,910,70.0
45,2021-09-02 18:30:00,53,53,41,45,327,77,2021,9,35,2021_35,2021-09-02,Jeudi,18:30,True,678,963,70.4
46,2021-09-02 19:00:00,30,30,30,8,243,100,2021,9,35,2021_35,2021-09-02,Jeudi,19:00,True,708,993,71.3
47,2021-09-02 19:30:00,15,15,15,8,325,100,2021,9,35,2021_35,2021-09-02,Jeudi,19:30,True,723,1008,71.7
48,2021-09-03 08:00:00,4,4,2,92,377,50,2021,9,35,2021_35,2021-09-03,Vendredi,08:00,True,2,4,50.0
49,2021-09-03 08:30:00,18,18,16,20,297,88,2021,9,35,2021_35,2021-09-03,Vendredi,08:30,True,18,22,81.8
50,2021-09-03 09:00:00,38,38,18,115,298,47,2021,9,35,2021_35,2021-09-03,Vendredi,09:00,True,36,60,60.0
51,2021-09-03 09:30:00,43,42,8,196,324,19,2021,9,35,2021_35,2021-09-03,Vendredi,09:30,True,44,102,43.1
52,2021-09-03 10:00:00,43,43,43,23,305,100,2021,9,35,2021_35,2021-09-03,Vendredi,10:00,True,87,145,60.0
53,2021-09-03 10:30:00,24,24,24,14,327,100,2021,9,35,2021_35,2021-09-03,Vendredi,10:30,True,111,169,65.7
54,2021-09-03 11:00:00,46,46,46,11,287,100,2021,9,35,2021_35,2021-09-03,Vendredi,11:00,True,157,215,73.0
55,2021-09-03 11:30:00,35,35,35,14,323,100,2021,9,35,2021_35,2021-09-03,Vendredi,11:30,True,192,250,76.8
56,2021-09-03 12:00:00,34,34,29,41,319,85,2021,9,35,2021_35,2021-09-03,Vendredi,12:00,True,221,284,77.8
57,2021-09-03 12:30:00,37,37,30,43,295,81,2021,9,35,2021_35,2021-09-03,Vendredi,12:30,True,251,321,78.2
