,Date_heure,nb_ae,nb_ae_rep,nb_ae_tr90,dmr,dmt,TR90,Year,Mois,Semaine,Year_Sem,Date,jsem,creneau,BTS,cs_ae_tr,cs_ae_rep,cs_tr90
0,2021-09-01 08:00:00,55,55,55,23,327,100,2021,9,35,2021_35,2021-09-01,Mercredi,08:00,True,55,55,100.0
1,2021-09-01 08:30:00,55,55,31,87,365,56,2021,9,35,2021_35,2021-09-01,Mercredi,08:30,True,86,110,78.2
2,2021-09-01 09:00:00,61,61,35,87,312,57,2021,9,35,2021_35,2021-09-01,Mercredi,09:00,True,121,171,70.8
3,2021-09-01 09:30:00,31,31,31,25,413,100,2021,9,35,2021_35,2021-09-01,Mercredi,09:30,True,152,202,75.2
4,2021-09-01 10:00:00,58,57,52,45,287,91,2021,9,35,2021_35,2021-09-01,Mercredi,10:00,True,204,259,78.8
5,2021-09-01 10:30:00,58,57,34,79,428,59,2021,9,35,2021_35,2021-09-01,Mercredi,10:30,True,238,316,75.3
6,2021-09-01 11:00:00,39,39,32,45,460,82,2021,9,35,2021_35,2021-09-01,Mercredi,11:00,True,270,355,76.1
7,2021-09-01 11:30:00,57,55,27,97,462,49,2021,9,35,2021_35,2021-09-01,Mercredi,11:30,True,297,410,72.4
8,2021-09-01 12:00:00,47,46,40,43,416,87,2021,9,35,2021_35,2021-09-01,Mercredi,12:00,True,337,456,73.9
9,2021-09-01 12:30:00,52,52,50,27,334,96,2021,9,35,2021_35,2021-09-01,Mercredi,12:30,True,387,508,76.2
10,2021-09-01 13:00:00,40,40,30,64,375,75,2021,9,35,2021_35,2021-09-01,Mercredi,13:00,True,417,548,76.1
11,2021-09-01 13:30:00,37,37,36,33,391,97,2021,9,35,2021_35,2021-09-01,Mercredi,13:30,True,453,585,77.4
12,2021-09-01 14:00:00,39,39,36,45,438,92,2021,9,35,2021_35,2021-09-01,Mercredi,14:00,True,489,624,78.4
13,2021-09-01 14:30:00,51,51,37,65,349,72,2021,9,35,2021_35,2021-09-01,Mercredi,14:30,True,526,675,77.9
14,2021-09-01 15:00:00,59,59,58,29,432,98,2021,9,35,2021_35,2021-09-01,Mercredi,15:00,True,584,734,79.6
15,2021-09-01 15:30:00,62,62,56,40,333,90,2021,9,35,2021_35,2021-09-01,Mercredi,15:30,True,640,796,80.4
16,2021-09-01 16:00:00,54,53,51,33,337,96,2021,9,35,2021_35,2021-09-01,Mercredi,16:00,True,691,849,81.4
17,2021-09-01 16:30:00,53,53,29,88,389,54,2021,9,35,2021_35,2021-09-01,Mercredi,16:30,True,720,902,79.8
18,2021-09-01 17:00:00,32,32,20,82,413,62,2021,9,35,2021_35,2021-09-01,Mercredi,17:00,True,740,934,79.2
19,2021-09-01 17:30:00,40,39,1,202,361,2,2021,9,35,2021_35,2021-09-01,Mercredi,17:30,True,741,973,76.2
20,2021-09-01 18:00:00,21,21,13,87,417,61,2021,9,35,2021_35,2021-09-01,Mercredi,18:00,True,754,994,75.9
