,Date,nb_itv
0,2021-09-01,1053
1,2021-09-02,1072
2,2021-09-03,743
3,2021-09-04,426
4,2021-09-06,437
5,2021-09-07,767
6,2021-09-08,1105
7,2021-09-09,1032
8,2021-09-10,723
9,2021-09-11,435
10,2021-09-13,406
11,2021-09-14,691
12,2021-09-15,1066
13,2021-09-16,1067
14,2021-09-17,712
15,2021-09-18,432
16,2021-09-20,422
17,2021-09-21,697
18,2021-09-22,1098
19,2021-09-23,1029
20,2021-09-24,749
21,2021-09-25,445
22,2021-09-27,451
23,2021-09-28,726
24,2021-09-29,1094
25,2021-09-30,1059
26,2021-10-01,672
27,2021-10-02,416
28,2021-10-04,401
29,2021-10-05,637
30,2021-10-06,1014
31,2021-10-07,1050
32,2021-10-08,736
33,2021-10-09,452
34,2021-10-11,410
35,2021-10-12,660
36,2021-10-13,959
37,2021-10-14,1007
38,2021-10-15,684
39,2021-10-16,411
40,2021-10-18,405
41,2021-10-19,686
42,2021-10-20,1045
43,2021-10-21,1005
44,2021-10-22,678
45,2021-10-23,419
46,2021-10-25,424
47,2021-10-26,681
48,2021-10-27,991
49,2021-10-28,981
50,2021-10-29,641
51,2021-10-30,412
52,2021-11-01,1
53,2021-11-02,741
54,2021-11-03,874
55,2021-11-04,881
56,2021-11-05,702
57,2021-11-06,399
58,2021-11-08,416
59,2021-11-09,724
60,2021-11-10,762
61,2021-11-12,635
62,2021-11-13,323
63,2021-11-14,1
64,2021-11-15,346
65,2021-11-16,683
66,2021-11-17,1007
67,2021-11-18,999
68,2021-11-19,781
69,2021-11-20,406
70,2021-11-22,376
71,2021-11-23,644
72,2021-11-24,967
73,2021-11-25,880
74,2021-11-26,726
75,2021-11-27,404
76,2021-11-28,5
77,2021-11-29,392
78,2021-11-30,704
79,2021-12-01,917
80,2021-12-02,947
81,2021-12-03,695
82,2021-12-04,360
83,2021-12-05,1
84,2021-12-06,376
85,2021-12-07,687
86,2021-12-08,993
87,2021-12-09,920
88,2021-12-10,751
89,2021-12-11,448
90,2021-12-13,414
91,2021-12-14,762
92,2021-12-15,976
93,2021-12-16,1062
94,2021-12-17,714
95,2021-12-18,407
96,2021-12-20,437
97,2021-12-21,695
98,2021-12-22,1016
99,2021-12-23,982
100,2021-12-24,477
101,2021-12-25,2
102,2021-12-27,369
103,2021-12-28,593
104,2021-12-29,926
105,2021-12-30,910
106,2021-12-31,458
107,2022-01-03,384
108,2022-01-04,607
109,2022-01-05,938
110,2022-01-06,897
111,2022-01-07,564
112,2022-01-08,368
113,2022-01-10,356
114,2022-01-11,560
115,2022-01-12,818
116,2022-01-13,822
117,2022-01-14,605
118,2022-01-15,348
119,2022-01-17,399
120,2022-01-18,639
121,2022-01-19,955
122,2022-01-20,926
123,2022-01-21,566
124,2022-01-22,370
125,2022-01-24,405
126,2022-01-25,636
127,2022-01-26,995
128,2022-01-27,943
129,2022-01-28,623
130,2022-01-29,411
131,2022-01-31,375
132,2022-02-01,629
133,2022-02-02,886
134,2022-02-03,926
135,2022-02-04,630
136,2022-02-05,380
137,2022-02-07,403
138,2022-02-08,641
139,2022-02-09,929
140,2022-02-10,828
141,2022-02-11,536
142,2022-02-12,340
143,2022-02-14,409
144,2022-02-15,590
145,2022-02-16,919
146,2022-02-17,902
147,2022-02-18,582
148,2022-02-19,400
149,2022-02-21,350
150,2022-02-22,608
151,2022-02-23,918
152,2022-02-24,906
153,2022-02-25,595
154,2022-02-26,387
155,2022-02-28,398
0,2022-03-01,723
1,2022-03-02,1019
2,2022-03-03,1033
3,2022-03-04,698
4,2022-03-05,381
5,2022-03-07,454
6,2022-03-08,722
7,2022-03-09,1066
8,2022-03-10,991
9,2022-03-11,682
10,2022-03-12,421
11,2022-03-14,365
12,2022-03-15,722
13,2022-03-16,1035
14,2022-03-17,1026
15,2022-03-18,801
16,2022-03-19,420
17,2022-03-21,442
18,2022-03-22,790
19,2022-03-23,1079
20,2022-03-24,1012
21,2022-03-25,680
22,2022-03-26,352
23,2022-03-28,426
24,2022-03-29,736
25,2022-03-30,995
26,2022-03-31,947
0,2022-04-01,704
1,2022-04-02,439
2,2022-04-04,355
3,2022-04-05,605
4,2022-04-06,925
5,2022-04-07,808
6,2022-04-08,627
7,2022-04-09,440
8,2022-04-11,448
9,2022-04-12,683
10,2022-04-13,882
11,2022-04-14,863
12,2022-04-15,527
13,2022-04-16,334
14,2022-04-19,573
15,2022-04-20,973
16,2022-04-21,927
17,2022-04-22,592
18,2022-04-23,435
19,2022-04-25,341
20,2022-04-26,605
21,2022-04-27,727
22,2022-04-28,836
23,2022-04-29,573
24,2022-04-30,274
